"","EVENT_ID","STATE","MONTH_NAME","EVENT_TYPE","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"41704",417015,"NEW JERSEY","October","High Wind",0,0,0,1,"150.00M","0.00K"
"41705",417016,"NEW JERSEY","October","High Wind",0,0,0,1,"300.00M","0.00K"
"41707",417018,"NEW JERSEY","October","High Wind",0,0,1,2,"40.00M","0.00K"
"41833",420320,"NEVADA","December","Strong Wind",0,0,1,0,"0.00K","0.00K"
"41967",413100,"CONNECTICUT","October","High Wind",0,0,1,0,"900.00K","0.00K"
"41971",421210,"CONNECTICUT","October","High Wind",0,0,0,1,"300.00K","0.00K"
"41993",422479,"MONTANA","December","Winter Weather",0,0,0,1,"0.00K","0.00K"
"42129",426053,"CALIFORNIA","December","Heavy Rain",0,2,0,1,"30.00K","0.00K"
"42190",426364,"ALABAMA","December","Thunderstorm Wind",0,0,1,0,"35.00K","0.00K"
"42424",393032,"WISCONSIN","June","Heat",0,0,2,0,"0.00K","0.00K"
"42561",416829,"KANSAS","December","Winter Storm",0,1,0,1,"",""
"42600",419040,"ARKANSAS","December","Winter Storm",0,0,1,0,"10.00M","0.00K"
"42661",418625,"CALIFORNIA","December","Heavy Rain",0,0,0,1,"0.00K","0.00K"
"42688",413117,"NEW JERSEY","October","High Wind",0,0,0,5,"900.00K","0.00K"
"43058",420748,"OREGON","November","High Wind",0,0,1,0,"0.00K","0.00K"
"43131",426142,"CALIFORNIA","December","Avalanche",0,0,1,0,"0.00K","0.00K"
"43145",421680,"TEXAS","November","Dense Fog",0,0,0,2,"6.00M","0.00K"
"43235",415901,"TEXAS","December","Winter Weather",0,1,0,1,"0.00K","0.00K"
"43281",413125,"NEW YORK","October","High Wind",0,0,1,0,"1000.00K","0.00K"
"43707",416939,"NEW JERSEY","October","Coastal Flood",0,0,0,2,"150.00M","0.00K"
"43711",416943,"NEW JERSEY","October","Coastal Flood",0,0,2,0,"2.50B","0.00K"
"43712",416946,"NEW JERSEY","October","Coastal Flood",0,0,0,1,"5.00B","0.00K"
"43725",426571,"TEXAS","December","Strong Wind",0,0,1,0,"",""
"43853",426476,"NEW YORK","December","Winter Weather",1,0,1,0,"","0.00K"
"44019",413124,"NEW YORK","October","High Wind",0,0,1,0,"900.00K","0.00K"
"44020",413127,"NEW YORK","October","High Wind",0,0,1,0,"1000.00K","0.00K"
"44137",424829,"CALIFORNIA","December","Winter Storm",0,0,1,0,"0.00K","0.00K"
"44528",421638,"MONTANA","November","Winter Storm",1,0,2,0,"25.00K","0.00K"
